1D Transient Heat Conduction Solver

Enter Length of slab (L): 1
Enter Number of nodes: 6 
Enter Fourier Number (beta): 0.2
Enter Initial Peak Temp at x=0: 100
Enter Right Boundary Temp: 0
Enter Convergence Tolerance: 0.0001

Grid Info:
Total Nodes: 6
Number of Divisions in slab: 5
Spatial Step (dx): 0.20
 
Step n=0: 100.00, 95.11, 80.90, 58.78, 30.90, 0.00
--------------------------------------------------
Step n=1: 98.04, 93.24, 79.32, 57.63, 30.30, 0.00
Step n=2: 96.12, 91.42, 77.77, 56.50, 29.70, 0.00
Step n=3: 94.24, 89.63, 76.24, 55.39, 29.12, 0.00
Step n=4: 92.40, 87.87, 74.75, 54.31, 28.55, 0.00
Step n=5: 90.59, 86.15, 73.29, 53.25, 27.99, 0.00
Step n=6: 88.81, 84.47, 71.85, 52.20, 27.44, 0.00
Step n=7: 87.07, 82.81, 70.45, 51.18, 26.91, 0.00
Step n=8: 85.37, 81.19, 69.07, 50.18, 26.38, 0.00
Step n=9: 83.70, 79.60, 67.71, 49.20, 25.86, 0.00
Step n=10: 82.06, 78.04, 66.39, 48.23, 25.36, 0.00
Step n=11: 80.45, 76.52, 65.09, 47.29, 24.86, 0.00
Step n=12: 78.88, 75.02, 63.81, 46.36, 24.37, 0.00
Step n=13: 77.33, 73.55, 62.56, 45.46, 23.90, 0.00
Step n=14: 75.82, 72.11, 61.34, 44.57, 23.43, 0.00
Step n=15: 74.34, 70.70, 60.14, 43.69, 22.97, 0.00
Step n=16: 72.88, 69.31, 58.96, 42.84, 22.52, 0.00
Step n=17: 71.45, 67.96, 57.81, 42.00, 22.08, 0.00
Step n=18: 70.06, 66.63, 56.68, 41.18, 21.65, 0.00
Step n=19: 68.68, 65.32, 55.57, 40.37, 21.22, 0.00
Step n=20: 67.34, 64.04, 54.48, 39.58, 20.81, 0.00
Step n=21: 66.02, 62.79, 53.41, 38.81, 20.40, 0.00
Step n=22: 64.73, 61.56, 52.37, 38.05, 20.00, 0.00
Step n=23: 63.46, 60.35, 51.34, 37.30, 19.61, 0.00
Step n=24: 62.22, 59.17, 50.34, 36.57, 19.23, 0.00
Step n=25: 61.00, 58.01, 49.35, 35.86, 18.85, 0.00
Step n=26: 59.81, 56.88, 48.38, 35.15, 18.48, 0.00
Step n=27: 58.64, 55.77, 47.44, 34.46, 18.12, 0.00
Step n=28: 57.49, 54.67, 46.51, 33.79, 17.76, 0.00
Step n=29: 56.36, 53.60, 45.60, 33.13, 17.42, 0.00
Step n=30: 55.26, 52.55, 44.71, 32.48, 17.08, 0.00
Step n=31: 54.18, 51.53, 43.83, 31.84, 16.74, 0.00
Step n=32: 53.12, 50.52, 42.97, 31.22, 16.41, 0.00
Step n=33: 52.08, 49.53, 42.13, 30.61, 16.09, 0.00
Step n=34: 51.06, 48.56, 41.31, 30.01, 15.78, 0.00
Step n=35: 50.06, 47.61, 40.50, 29.42, 15.47, 0.00
Step n=36: 49.08, 46.68, 39.70, 28.85, 15.17, 0.00
Step n=37: 48.12, 45.76, 38.93, 28.28, 14.87, 0.00
Step n=38: 47.17, 44.87, 38.16, 27.73, 14.58, 0.00
Step n=39: 46.25, 43.99, 37.42, 27.19, 14.29, 0.00
Step n=40: 45.35, 43.13, 36.69, 26.65, 14.01, 0.00
Step n=41: 44.46, 42.28, 35.97, 26.13, 13.74, 0.00
Step n=42: 43.59, 41.45, 35.26, 25.62, 13.47, 0.00
Step n=43: 42.73, 40.64, 34.57, 25.12, 13.21, 0.00
Step n=44: 41.90, 39.85, 33.90, 24.63, 12.95, 0.00
Step n=45: 41.08, 39.07, 33.23, 24.14, 12.69, 0.00
Step n=46: 40.27, 38.30, 32.58, 23.67, 12.45, 0.00
Step n=47: 39.48, 37.55, 31.94, 23.21, 12.20, 0.00
Step n=48: 38.71, 36.82, 31.32, 22.75, 11.96, 0.00
Step n=49: 37.95, 36.10, 30.71, 22.31, 11.73, 0.00
Step n=50: 37.21, 35.39, 30.10, 21.87, 11.50, 0.00
Step n=51: 36.48, 34.70, 29.51, 21.44, 11.27, 0.00
Step n=52: 35.77, 34.02, 28.94, 21.02, 11.05, 0.00
Step n=53: 35.07, 33.35, 28.37, 20.61, 10.84, 0.00
Step n=54: 34.38, 32.70, 27.81, 20.21, 10.62, 0.00
Step n=55: 33.71, 32.06, 27.27, 19.81, 10.42, 0.00
Step n=56: 33.05, 31.43, 26.74, 19.43, 10.21, 0.00
Step n=57: 32.40, 30.82, 26.21, 19.04, 10.01, 0.00
Step n=58: 31.77, 30.21, 25.70, 18.67, 9.82, 0.00
Step n=59: 31.14, 29.62, 25.20, 18.31, 9.62, 0.00
Step n=60: 30.54, 29.04, 24.70, 17.95, 9.44, 0.00
Step n=61: 29.94, 28.47, 24.22, 17.60, 9.25, 0.00
Step n=62: 29.35, 27.91, 23.75, 17.25, 9.07, 0.00
Step n=63: 28.78, 27.37, 23.28, 16.91, 8.89, 0.00
Step n=64: 28.21, 26.83, 22.82, 16.58, 8.72, 0.00
Step n=65: 27.66, 26.31, 22.38, 16.26, 8.55, 0.00
Step n=66: 27.12, 25.79, 21.94, 15.94, 8.38, 0.00
Step n=67: 26.59, 25.29, 21.51, 15.63, 8.22, 0.00
Step n=68: 26.07, 24.79, 21.09, 15.32, 8.06, 0.00
Step n=69: 25.56, 24.31, 20.68, 15.02, 7.90, 0.00
Step n=70: 25.06, 23.83, 20.27, 14.73, 7.74, 0.00
Step n=71: 24.57, 23.36, 19.87, 14.44, 7.59, 0.00
Step n=72: 24.09, 22.91, 19.49, 14.16, 7.44, 0.00
Step n=73: 23.61, 22.46, 19.10, 13.88, 7.30, 0.00
Step n=74: 23.15, 22.02, 18.73, 13.61, 7.15, 0.00
